2024-07-29 10:49:14 CPU: 1.6%, Memory: 11.3507%
2024-07-29 10:49:17 CPU: 1.6%, Memory: 11.3507%
2024-07-29 10:49:19 CPU: 0%, Memory: 11.3502%
2024-07-29 10:49:21 CPU: 0%, Memory: 11.3501%
2024-07-29 10:49:23 CPU: 1.6%, Memory: 11.3501%
2024-07-29 10:49:25 CPU: 1.6%, Memory: 11.3501%
2024-07-29 10:49:28 CPU: 1.6%, Memory: 11.3468%
2024-07-29 10:49:30 CPU: 1.6%, Memory: 11.3431%
2024-07-29 10:49:32 CPU: 1.6%, Memory: 11.3399%
2024-07-29 10:49:34 CPU: 0%, Memory: 11.3366%
2024-07-29 10:49:36 CPU: 0%, Memory: 11.3347%
2024-07-29 10:49:38 CPU: 0%, Memory: 11.3333%
2024-07-29 10:49:41 CPU: 0%, Memory: 11.3309%
2024-07-29 10:49:43 CPU: 1.6%, Memory: 11.3295%
2024-07-29 10:49:45 CPU: 1.5%, Memory: 11.2592%
2024-07-29 10:49:47 CPU: 0%, Memory: 11.2592%
2024-07-29 10:49:49 CPU: 0%, Memory: 11.2587%
2024-07-29 10:49:52 CPU: 0%, Memory: 11.2585%
2024-07-29 10:49:54 CPU: 0%, Memory: 11.261%
2024-07-29 10:49:56 CPU: 1.6%, Memory: 11.2641%
2024-07-29 10:49:58 CPU: 0%, Memory: 11.2641%
2024-07-29 10:50:00 CPU: 0%, Memory: 11.2897%
2024-07-29 10:50:03 CPU: 0%, Memory: 11.2634%
2024-07-29 10:50:05 CPU: 0%, Memory: 11.2634%
2024-07-29 10:50:07 CPU: 1.6%, Memory: 11.2633%
2024-07-29 10:50:09 CPU: 1.6%, Memory: 11.2633%
2024-07-29 10:50:11 CPU: 0%, Memory: 11.2628%
2024-07-29 10:50:14 CPU: 1.6%, Memory: 11.2627%
2024-07-29 10:50:16 CPU: 0%, Memory: 11.284%
2024-07-29 10:50:18 CPU: 1.6%, Memory: 11.2839%
2024-07-29 10:50:20 CPU: 1.6%, Memory: 11.2745%
2024-07-29 10:50:22 CPU: 4.8%, Memory: 11.275%
2024-07-29 10:50:25 CPU: 1.6%, Memory: 11.2718%
2024-07-29 10:50:27 CPU: 0%, Memory: 11.2718%
2024-07-29 10:50:29 CPU: 0%, Memory: 11.2736%
2024-07-29 10:50:31 CPU: 0%, Memory: 11.273%
2024-07-29 10:50:33 CPU: 0%, Memory: 11.2761%
2024-07-29 10:50:35 CPU: 4.7%, Memory: 11.2761%
2024-07-29 10:50:38 CPU: 0%, Memory: 11.2793%
2024-07-29 10:50:40 CPU: 0%, Memory: 11.2856%
2024-07-29 10:50:42 CPU: 1.6%, Memory: 11.285%
2024-07-29 10:50:44 CPU: 1.6%, Memory: 11.2889%
2024-07-29 10:50:46 CPU: 0%, Memory: 11.2888%
2024-07-29 10:50:49 CPU: 0%, Memory: 11.2952%
2024-07-29 10:50:51 CPU: 1.6%, Memory: 11.3241%
2024-07-29 10:50:53 CPU: 0%, Memory: 11.301%
2024-07-29 10:50:55 CPU: 0%, Memory: 11.3042%
2024-07-29 10:50:57 CPU: 1.6%, Memory: 11.3074%
2024-07-29 10:51:00 CPU: 0%, Memory: 11.3073%
2024-07-29 10:51:02 CPU: 0%, Memory: 11.333%
2024-07-29 10:51:04 CPU: 1.6%, Memory: 11.333%
2024-07-29 10:51:06 CPU: 0%, Memory: 11.3067%
2024-07-29 10:51:08 CPU: 0%, Memory: 11.3067%
2024-07-29 10:51:11 CPU: 3.2%, Memory: 11.3067%
2024-07-29 10:51:13 CPU: 1.6%, Memory: 11.3062%
2024-07-29 10:51:15 CPU: 1.6%, Memory: 11.3101%
2024-07-29 10:51:17 CPU: 1.6%, Memory: 11.3069%
2024-07-29 10:51:19 CPU: 1.6%, Memory: 11.3004%
2024-07-29 10:51:22 CPU: 1.6%, Memory: 11.2982%
2024-07-29 10:51:24 CPU: 1.6%, Memory: 11.2923%
2024-07-29 10:51:26 CPU: 0%, Memory: 11.2858%
2024-07-29 10:51:28 CPU: 0%, Memory: 11.2858%
2024-07-29 10:51:30 CPU: 0%, Memory: 11.2922%
2024-07-29 10:51:32 CPU: 1.6%, Memory: 11.2967%
2024-07-29 10:51:35 CPU: 0%, Memory: 11.2915%
2024-07-29 10:51:37 CPU: 0%, Memory: 11.2856%
2024-07-29 10:51:39 CPU: 0%, Memory: 11.2886%
2024-07-29 10:51:41 CPU: 1.6%, Memory: 11.279%
2024-07-29 10:51:43 CPU: 0%, Memory: 11.2835%
2024-07-29 10:51:46 CPU: 1.6%, Memory: 11.2854%
2024-07-29 10:51:48 CPU: 0%, Memory: 11.2885%
2024-07-29 10:51:50 CPU: 3.2%, Memory: 11.2885%
2024-07-29 10:51:52 CPU: 0%, Memory: 11.2897%
2024-07-29 10:51:54 CPU: 1.6%, Memory: 11.2942%
